Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
243596291,Fruit Fly,Josh  Silver,"Silver, Josh",,"=""""","=""9798892426374""",2.0,Crooked Lane Books,Paperback,384,2026,2026,2026/09/03,2026/08/30,,,read,,,,1,0
249223282,Primeval and Other Times,Olga Tokarczuk,"Tokarczuk, Olga",Antonia Lloyd-Jones,"=""0593717279""","=""9780593717271""",0,Riverhead Books,Hardcover,288,2026,1996,,2026/09/03,to-read,to-read (#3234),to-read,,,,0,0
244797299,The Radiance,Ayad Akhtar,"Akhtar, Ayad",,"=""1668078635""","=""9781668078631""",0,S&S/Summit Books,Hardcover,304,2026,2026,,2026/09/03,to-read,to-read (#3233),to-read,,,,0,0
249584823,Doppelgänger,Sam Riviere,"Riviere, Sam",,"=""1646223462""","=""9781646223466""",0,Catapult,Hardcover,240,2026,,,2026/09/03,to-read,to-read (#3232),to-read,,,,0,0
236773511,Black Bag,Luke Kennard,"Kennard, Luke",,"=""1638933383""","=""9781638933380""",0,Zando,Hardcover,352,2026,2026,,2026/09/03,to-read,to-read (#3231),to-read,,,,0,0
249791555,"Hollywood, Ending",John  Green,"Green, John",,"=""0525556656""","=""9780525556657""",0,Dutton Books,Hardcover,304,2026,2026,,2026/09/02,to-read,to-read (#3230),to-read,,,,0,0
247785403,"Dead Beat (Ninth House Trilogy, #3)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250884314""","=""9781250884312""",5.0,Flatiron Books,Hardcover,512,2026,2026,,2023/12/15,to-read,to-read (#1075),to-read,"Dead Beat!!!!<br/><br/>Bardugo has already proven she can blend dread, dark humor, and mythology better than Jamba Juice blends smoothies, so my faith is absolute. I’m clearing my schedule, my brain, and possibly my moral compass for this one.<br/><br/>At this point I’m experiencing full-body withdrawals for the Yale weirdness, the occult academia, and the “we survived hell together but still can’t have a normal conversation” tension that only Alex and Darlington can deliver.<br/><br/>My wishlist is simple:<br/>• smart, tense, character-driven chaos<br/>• beautifully unhinged magical academia<br/>• Alex and Darlington finally confronting… whatever it is they’re avoiding",,,0,0
247230391,Solace House,Will Maclean,"Maclean, Will",,"=""080216868X""","=""9780802168689""",0,Grove Press,Hardcover,512,2026,2026,,2026/09/02,to-read,to-read (#3229),to-read,,,,0,0
247520549,Ply,Hernan Diaz,"Diaz, Hernan",,"=""0593719549""","=""9780593719541""",0,Riverhead Books,Hardcover,464,2026,2026,,2026/09/02,to-read,to-read (#3228),to-read,,,,0,0
251557251,In One Brief Moment All Eternity,Elif Shafak,"Shafak, Elif",,"=""0593801733""","=""9780593801734""",0,Knopf,Hardcover,608,2027,2027,,2026/09/01,to-read,to-read (#3227),to-read,,,,0,0
253015605,Serious Music,Percival Everett,"Everett, Percival",,"=""0385552580""","=""9780385552585""",0,Doubleday,Hardcover,304,2027,2027,,2026/09/01,to-read,to-read (#3226),to-read,,,,0,0
28355463,After Dark,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",0,Vintage International,Paperback,244,2015,2004,,2026/08/31,to-read,to-read (#3225),to-read,,,,0,0
250951361,Arendal: A Novel,Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""""","=""9798217060917""",0,Penguin Press,Hardcover,256,2027,2024,,2026/08/31,to-read,to-read (#3224),to-read,,,,0,0
57088641,The Plague,Albert Camus,"Camus, Albert",Laura Marris,"=""0593318668""","=""9780593318669""",0,Knopf,Hardcover,352,2021,1947,,2022/09/01,currently-reading,currently-reading (#10),currently-reading,,,,1,0
